Segment,Mapping,Annual_Salary,Gender,Education,Living_Region,Age,Online_Consumer,Online_Service_Preference,AI_Endorsement,AI_Privacy_No_Trust ,AI_Enhance_Experience,AI_Satisfication,AI_Tools_Used _Chatbots,AI_Tools_Used_Virtual_Assistant,AI_Tools_Used_Voice&Photo_Search,Number of AI Tools Used,Payment_Method_Credit/Debit,Payment_Method_COD,Payment_Method_Ewallet,Number of Payment Methods Used,Product_Category_Appliances,Product_Category_Electronics,Product_Category_Groceries,Product_Category_Personal_Care,Product_Category_Clothing,Review Rating,Frequency of Purchases (Days),Previous Purchases,Purchase Amount,AI_Tools Applied,Item Purchased,Category,Size,Color,Season,Shipping Type,Frequency of Purchases
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,0,1,2,1,0,0,1,0,1,1,1,1,4.9,30,15,54,Yes,Shirt,Clothing,M,Peach,Summer,Store Pickup,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,0,1,1,2,1,1,1,0,1,4.8,30,17,94.5,Yes,Socks,Clothing,L,Red,Summer,Store Pickup,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,2.6,30,11,76.5,Yes,Belt,Accessories,L,Olive,Fall,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,0,1,2,0,1,0,1,0,0,1,1,1,4,90,18,78,Yes,Hat,Accessories,L,Blue,Summer,Express,Every 3 Months
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,3.7,30,16,145.5,Yes,Sandals,Footwear,M,Maroon,Fall,2-Day Shipping,Monthly
Female_Millennials_Rural Areas_High,Female_Millennials,High,Female,University Graduate,Rural Areas,Millennials,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,2.9,30,46,141,Yes,Skirt,Clothing,L,White,Winter,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,1,0,1,5,30,5,55.5,Yes,Pants,Clothing,XL,Black,Winter,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,4.9,7,45,84,Yes,Shoes,Footwear,L,Gray,Winter,2-Day Shipping,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,3.1,30,34,103.5,Yes,Skirt,Clothing,M,Orange,Winter,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,1,0,1,2,1,1,1,1,1,3.2,14,17,84,Yes,Jewelry,Accessories,S,Green,Spring,Express,Bi-Weekly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Highschool Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8,30,14,106.5,Yes,Sandals,Footwear,M,Purple,Spring,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.9,30,39,105,Yes,Socks,Clothing,M,Cyan,Fall,Express,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,1,1,2,1,0,1,2,0,1,0,1,1,3,14,12,36,Yes,Boots,Footwear,L,Yellow,Spring,Express,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Doctorate Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,0,1,1,2,1,1,1,1,0,3.1,30,18,106.5,Yes,Sunglasses,Accessories,M,Maroon,Summer,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,4.4,14,47,129,Yes,Skirt,Clothing,L,Charcoal,Spring,Free Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,4.3,14,45,129,Yes,Coat,Outerwear,S,Silver,Summer,Store Pickup,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,4.7,14,26,66,Yes,Sunglasses,Accessories,M,Yellow,Fall,Express,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,1,1,1,3,1,0,1,2,1,1,1,1,1,4,30,50,33,Yes,Sunglasses,Accessories,L,Red,Spring,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,0,0,1,1,1,0,1,0,1,3.3,30,2,136.5,Yes,Blouse,Clothing,M,Silver,Summer,Free Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,3.9,30,9,150,Yes,Handbag,Accessories,L,Yellow,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,1,1,0,0,1,1,2,1,1,1,3,1,0,1,0,0,2.8,14,28,145.5,Yes,Coat,Outerwear,M,Silver,Summer,Express,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,0,1,2,0,1,1,2,1,1,1,1,1,4.9,30,31,39,Yes,Blouse,Clothing,L,Lavender,Summer,Store Pickup,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,4.9,30,44,115.5,Yes,Jewelry,Accessories,M,Gray,Winter,2-Day Shipping,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,University Graduate,Suburban Areas,Millennials,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,2.9,14,43,100.5,Yes,Socks,Clothing,M,Magenta,Summer,Express,Bi-Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,1,1,2,1,0,1,2,1,1,1,1,1,4.8,30,36,118.5,Yes,Handbag,Accessories,XL,Orange,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3.4,30,30,148.5,Yes,Jeans,Clothing,M,Black,Summer,Express,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,0,1,1,2,1,1,0,2,1,0,1,0,1,4.8,30,29,37.5,Yes,Sandals,Footwear,M,Blue,Spring,Express,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,1,1,0,2,1,1,1,0,1,2.8,14,46,46.5,Yes,Belt,Accessories,M,Charcoal,Summer,Store Pickup,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,3.9,14,1,97.5,Yes,Boots,Footwear,M,Olive,Summer,Standard,Bi-Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,4.2,14,29,111,Yes,Blouse,Clothing,XL,Charcoal,Spring,Store Pickup,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,1,1,0,2,0,0,1,1,1,1,1,1,1,3,14,17,115.5,Yes,Socks,Clothing,M,Purple,Winter,Free Shipping,Fortnightly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,2.9,30,23,124.5,Yes,Sandals,Footwear,S,Teal,Fall,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,1,1,1,1,3.1,90,18,106.5,Yes,Gloves,Accessories,L,Green,Winter,Express,Every 3 Months
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,0,1,1,2,1,0,1,2,1,1,1,1,1,3.7,14,5,63,Yes,Jeans,Clothing,M,Turquoise,Spring,Express,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,5,30,40,130.5,Yes,Shorts,Clothing,S,Cyan,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,3.5,30,26,115.5,Yes,T-shirt,Clothing,M,Olive,Winter,Store Pickup,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,0,1,1,4.1,30,32,106.5,Yes,Gloves,Accessories,S,Violet,Summer,Free Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,1,0,2,0,0,1,1,1,4.7,90,46,124.5,Yes,Backpack,Accessories,M,Magenta,Summer,Express,Every 3 Months
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,3.4,30,3,123,Yes,Sneakers,Footwear,M,Purple,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,1,1,1,3,0,0,0,0,0,1,0,1,0,4.5,30,31,142.5,Yes,Dress,Clothing,M,Green,Spring,Free Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,3.6,30,14,48,Yes,T-shirt,Clothing,L,Gold,Winter,Standard,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,3.4,90,29,48,Yes,Shorts,Clothing,L,Yellow,Fall,Express,Every 3 Months
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,1,0,1,2,1,1,0,0,0,4.5,14,42,79.5,Yes,Socks,Clothing,XL,White,Winter,Next Day Air,Fortnightly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,1,1,2,0,1,1,2,0,0,1,1,1,3.6,7,46,51,Yes,Skirt,Clothing,M,White,Spring,Express,Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,1,1,1,3,0,1,0,1,0,1,1,0,1,4.2,30,11,58.5,Yes,Jacket,Outerwear,S,Indigo,Fall,Free Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2.6,7,14,136.5,Yes,Jeans,Clothing,L,Olive,Fall,Next Day Air,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Doctorate Degree,Metropolitan,Millennials,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,30,30,79.5,Yes,Hoodie,Clothing,M,Red,Summer,Express,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,0,1,1,1,1,1,3,0,0,0,0,1,1,1,0,1,3.8,30,10,72,Yes,Sunglasses,Accessories,S,Charcoal,Winter,Standard,Monthly
Female_Millennials_Rural Areas_High,Female_Millennials,High,Female,University Graduate,Rural Areas,Millennials,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,3.6,30,28,114,Yes,Coat,Outerwear,S,Green,Spring,Standard,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,2.9,14,14,36,Yes,Jeans,Clothing,M,Orange,Spring,2-Day Shipping,Fortnightly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,1,1,3,0,0,0,1,1,4.4,30,27,76.5,Yes,Jacket,Outerwear,M,Charcoal,Summer,Free Shipping,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,4.3,14,11,76.5,Yes,Shoes,Footwear,M,Magenta,Spring,Express,Bi-Weekly
Female_Millennials_Metropolitan_Low,Female_Millennials,Low,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,4,30,16,75,Yes,Backpack,Accessories,M,Maroon,Summer,2-Day Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,4.6,30,19,99,Yes,Dress,Clothing,L,Teal,Fall,Free Shipping,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,1,1,1,3,1,0,1,0,1,4.2,90,9,147,Yes,Sandals,Footwear,S,Yellow,Spring,Store Pickup,Every 3 Months
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,3.3,14,6,108,Yes,Pants,Clothing,S,Orange,Summer,2-Day Shipping,Fortnightly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,1,0,1,1,4.3,14,48,90,Yes,Shirt,Clothing,L,Pink,Winter,Standard,Bi-Weekly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,0,1,0,1,1,0,0,0,0,1,0,1,2,0,1,1,1,0,4,7,15,63,Yes,Blouse,Clothing,S,White,Summer,Free Shipping,Weekly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,4.7,30,26,93,Yes,Backpack,Accessories,M,Green,Fall,Next Day Air,Monthly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,1,1,0,2,1,0,0,1,1,1,0,1,1,3.9,7,39,144,Yes,Shirt,Clothing,M,Pink,Spring,Free Shipping,Weekly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,3.7,14,14,99,Yes,Shorts,Clothing,M,White,Winter,Next Day Air,Fortnightly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,4.8,30,38,109.5,Yes,Belt,Accessories,M,Blue,Spring,Next Day Air,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,1,2,1,1,0,1,1,5,14,45,100.5,Yes,Skirt,Clothing,M,White,Winter,Free Shipping,Bi-Weekly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,3.8,30,4,75,Yes,Shoes,Footwear,S,White,Winter,Free Shipping,Monthly
Female_Millennials_Rural Areas_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Rural Areas,Millennials,1,0,1,1,1,0,1,1,0,2,1,0,0,1,0,1,0,0,0,3.6,30,27,64.5,Yes,Socks,Clothing,M,Silver,Fall,Free Shipping,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,0,1,2,1,1,1,1,1,3.6,7,22,70.5,Yes,Boots,Footwear,L,Yellow,Fall,2-Day Shipping,Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,0,2,1,0,0,1,0,1,0,1,1,4.2,7,19,132,Yes,Backpack,Accessories,M,Pink,Fall,Standard,Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,0,1,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,1,3.2,14,8,147,Yes,Blouse,Clothing,M,Purple,Summer,Standard,Bi-Weekly
Female_Millennials_Rural Areas_High,Female_Millennials,High,Female,Highschool Graduate,Rural Areas,Millennials,1,1,1,0,1,1,0,1,0,1,1,0,1,2,1,1,0,1,1,3,7,13,133.5,Yes,Shirt,Clothing,L,Lavender,Fall,Standard,Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,1,1,1,1,0,0,1,1,1,0,2,0,0,0,0,1,3.6,90,23,64.5,Yes,Handbag,Accessories,L,Brown,Fall,Express,Every 3 Months
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Doctorate Degree,Suburban Areas,Millennials,1,1,1,1,1,0,1,1,1,3,1,0,0,1,1,0,0,1,1,4.4,90,42,118.5,Yes,Hat,Accessories,M,Indigo,Summer,Standard,Every 3 Months
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,3.6,30,34,69,Yes,Socks,Clothing,M,Silver,Summer,Standard,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,2.9,30,41,48,Yes,Belt,Accessories,M,Blue,Summer,Store Pickup,Monthly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,4.3,7,34,69,Yes,Sweater,Clothing,M,Beige,Winter,Express,Weekly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,4.8,30,1,73.5,Yes,Belt,Accessories,M,Charcoal,Summer,Free Shipping,Monthly
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,4.2,14,18,31.5,Yes,Jacket,Outerwear,L,Indigo,Spring,Free Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,1,0,2,0,1,1,1,1,3.2,30,22,136.5,Yes,Shoes,Footwear,L,Brown,Winter,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,1,0,1,1,0,2,0,0,1,1,0,0,0,0,0,4.2,7,4,60,Yes,Boots,Footwear,M,Indigo,Winter,Express,Weekly
Female_Millennials_Rural Areas_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Rural Areas,Millennials,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,2.5,14,24,142.5,Yes,Belt,Accessories,M,Blue,Spring,2-Day Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Masters? Degree,Metropolitan,Millennials,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,2.7,14,9,123,Yes,Jewelry,Accessories,S,Brown,Summer,Express,Fortnightly
Female_Millennials_Suburban Areas_Low,Female_Millennials,Low,Female,Highschool Graduate,Suburban Areas,Millennials,1,0,1,0,1,1,1,0,1,2,1,0,0,1,1,1,1,1,1,4.3,90,3,150,Yes,Coat,Outerwear,S,Charcoal,Winter,Next Day Air,Every 3 Months
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,3,90,38,105,Yes,Socks,Clothing,S,Red,Summer,Next Day Air,Every 3 Months
Female_Millennials_Suburban Areas_High,Female_Millennials,High,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,0,1,1,1,1,1,3,1,0,0,1,0,1,1,1,1,2.5,30,20,103.5,Yes,Jewelry,Accessories,M,Gray,Fall,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,3,90,13,109.5,Yes,Blouse,Clothing,XL,Silver,Fall,Free Shipping,Every 3 Months
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,4,30,26,84,Yes,Scarf,Accessories,S,Silver,Summer,Next Day Air,Monthly
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Metropolitan,Millennials,1,0,1,1,1,0,1,0,0,1,1,0,1,2,1,0,0,0,1,3.6,14,32,99,Yes,Boots,Footwear,L,Yellow,Winter,Express,Fortnightly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,4.2,14,31,42,Yes,Socks,Clothing,M,Pink,Summer,2-Day Shipping,Fortnightly
Female_Millennials_Rural Areas_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Rural Areas,Millennials,1,1,1,1,1,0,1,0,1,2,1,0,0,1,1,1,0,1,1,2.8,90,43,45,Yes,Backpack,Accessories,M,Gray,Fall,Standard,Every 3 Months
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,4.3,14,12,66,Yes,Hat,Accessories,M,Brown,Fall,Express,Fortnightly
Female_Millennials_Rural Areas_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Rural Areas,Millennials,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3.4,14,34,136.5,Yes,Belt,Accessories,M,Magenta,Spring,2-Day Shipping,Bi-Weekly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,Highschool Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,0,1,3.3,14,11,138,Yes,Belt,Accessories,L,Blue,Winter,Free Shipping,Bi-Weekly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,University Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,1,2,1,1,1,1,1,2.5,30,39,120,Yes,Shirt,Clothing,XL,Blue,Winter,Store Pickup,Monthly
Female_Millennials_Metropolitan_High,Female_Millennials,High,Female,University Graduate,Metropolitan,Millennials,1,0,1,1,1,0,1,1,0,2,1,0,0,1,1,0,0,1,0,4.1,14,29,105,Yes,Boots,Footwear,M,Charcoal,Winter,Next Day Air,Fortnightly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,Masters? Degree,Suburban Areas,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,3.1,30,12,105,Yes,Skirt,Clothing,M,Black,Winter,Express,Monthly
Female_Millennials_Suburban Areas_Medium,Female_Millennials,Medium,Female,Highschool Graduate,Suburban Areas,Millennials,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,3.3,14,7,36,Yes,Jacket,Outerwear,M,Gold,Fall,Standard,Fortnightly
Female_Millennials_Metropolitan_Medium High,Female_Millennials,Medium High,Female,University Graduate,Metropolitan,Millennials,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,3.4,90,49,52.5,Yes,Scarf,Accessories,M,Magenta,Winter,Store Pickup,Every 3 Months
Female_Millennials_Metropolitan_Medium,Female_Millennials,Medium,Female,University Graduate,Metropolitan,Millennials,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,3.9,30,40,100.5,Yes,Blouse,Clothing,L,Black,Fall,Free Shipping,Monthly
Female_Millennials_Suburban Areas_Medium High,Female_Millennials,Medium High,Female,University Graduate,Suburban Areas,Millennials,1,1,1,0,1,1,1,1,0,2,1,0,1,2,1,1,0,1,1,4.9,90,7,126,Yes,T-shirt,Clothing,S,Pink,Winter,Free Shipping,Every 3 Months
Female_Millennials_Rural Areas_Low,Female_Millennials,Low,Female,Doctorate Degree,Rural Areas,Millennials,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4.9,30,28,108,Yes,Boots,Footwear,L,Gray,Fall,Store Pickup,Monthly
